date,bank_prime_loan_rate,owned_housing_units,monetary_base,currency_circulation,federal_minimum_wage,m1_money_stock,m2_money_stock,m2_own_rate,cpi_core_urban_consumers,cpi_core_urban_consumers_exclude_food_energy,employees_payroll,consumer_credit,unemployment_rate,savings_deposits
1959-05-01,4.23,152.5,50112,31.481,1,138.7,290.2,1.232,29,30.1,53384,50.928,4.2,139.3
1960-05-01,5,130.2,49734,31.716,1,137.6,298.9,1.379,29.5,30.6,54349,57.866,4.1,149.3
1961-05-01,4.5,127.6,48494,31.999,1,140.6,320,1.508,29.8,30.9,53690,60.124,5.9,165.3
1962-05-01,4.5,155.2,50543,33.316,1.15,144.5,345,2.11,30.2,31.4,55559,64.574,4.3,182.2
1963-05-01,4.5,172.7,51702,34.865,1.15,147.9,373.4,2.198,30.5,31.7,56572,71.336,4.4,203
1964-05-01,4.5,152.8,54273,37.095,1.25,152.7,401.3,2.329,30.9,32.2,58048,80.82,3.8,221.7
1965-05-01,4.5,153.3,57165,39.037,1.25,158.7,433.7,2.475,31.4,32.7,60442,90.824,3.3,243.1
1966-05-01,5.5,130,60631,41.841,1.25,168,466.2,2.655,32.3,33.4,63645,99.153,2.6,254.4
1967-05-01,5.5,132,63382,44.059,1.4,172.3,493.3,2.704,33.2,34.5,65540,102.905,2.6,256
1968-05-01,6.5,140.9,68077,46.854,1.6,184.6,535.4,2.769,34.5,36,67581,110.031,2.3,263.9
1969-05-01,7.5,155.5,73358,49.947,1.6,197.4,573.5,2.815,36.4,38.2,70285,122.13,2.3,267.1
1970-05-01,8,125,76649,53.49,1.6,204.3,590.8,3.114,38.6,40.5,71123,128.051,3.5,251.7
1971-05-01,5.46,198.5,82405,57.157,1.6,218.8,666.1,3.099,40.3,42.6,71287,137.275,4.5,277.5
1972-05-01,5,225.8,88543,61.177,1.6,232.2,742.6,3.175,41.6,43.9,73525,153.529,4.4,304.6
1973-05-01,7.01,234,93118,66.721,1.6,250.8,825.8,3.475,43.9,45.3,76712,177.277,3.6,327.2
1974-05-01,11.25,149,102777,72.896,2,263.3,873.4,4.416,48.6,48.4,78637,194.844,3.8,331.9
1975-05-01,7.4,116.1,106989,79.241,2.1,274.4,946.2,3.721,53.2,53.5,76774,197.568,7.3,361.1
1976-05-01,6.75,147.9,113566,87.327,2.3,291.3,1070.3,3.846,56.5,57,79534,210.104,5.7,420.6
1977-05-01,6.41,201.3,120979,94.919,2.3,311.6,1205.5,3.981,60.3,60.6,82376,237.4494,5.5,474.6
1978-05-01,8.27,211,132255,104.353,2.65,338.2,1304.8,4.06,64.5,64.7,86842,277.368,4.6,501
1979-05-01,11.75,189.1,144494,114.332,2.9,362.2,1402.7,5.671,71.5,70.8,90126,322.8797,4.3,456.7
1980-05-01,16.57,91.7,157915,124.915,3.1,377.8,1504.2,6.29,81.8,80.2,90763,346.1314,6.1,383.1
1981-05-01,19.61,109.9,163200,136.171,3.35,418.5,1655.4,9.682,89.8,87.8,91647,358.5945,6.1,368.3
1982-05-01,16.5,98.8,170045,145.627,3.35,440.9,1804.9,8.509,95.8,95.4,90478,377.725,7.9,345.7
1983-05-01,10.5,174.9,181386,158.66,3.35,493.9,2031.7,6.288,99.2,98.8,90019,397.2438,8.8,679.2
1984-05-01,12.39,180.7,192820,172.923,3.35,530.7,2191.4,7.275,103.4,103.9,94489,469.3338,6.4,702.3
1985-05-01,10.31,170.2,206691,182.46,3.35,569.3,2376.4,6.197,107.3,108.6,97726,552.3059,6.2,755.5
1986-05-01,8.5,186.6,226423,196.282,3.35,645.7,2571.1,5.285,108.9,112.9,99667,621.9152,6.1,849
1987-05-01,8.14,158,250593,211.768,3.35,739.3,2759.7,4.626,113.1,117.6,102135,654.3924,5.3,970.2
1988-05-01,8.84,140.2,268823,229.907,3.35,763.4,2910.7,4.99,117.5,122.7,105347,705.428,4.7,946.2
1989-05-01,11.5,131.7,280583,245.434,3.35,766.1,2996,6.451,123.8,128.3,108294,764.0841,4.3,862.3
1990-05-01,10,121.1,297279,261.938,3.8,795.5,3186.7,5.858,129.2,134.4,110270,794.0216,4.5,910.8
1991-05-01,8.5,97.7,314339,288.256,4.25,840.3,3330.3,4.684,135.6,141.3,108754,801.6365,5.9,970.3
1992-05-01,6.5,115.2,334541,307.8,4.25,942.9,3388,3.002,139.7,146.7,109140,791.2328,6.6,1125.7
1993-05-01,6,120.9,370845,337.874,4.25,1056.8,3425,2.179,144.2,151.7,111107,812.9222,6,1200
1994-05-01,6.99,148.8,407088,373.253,4.25,1132,3474.5,2.167,147.5,156,114486,905.1823,5.1,1220.7
1995-05-01,9,130.5,434008,408.007,4.25,1134,3506.7,3.083,152.2,160.8,117632,1048.3367,4.7,1089.6
1996-05-01,8.25,143.9,443014,419.321,4.25,1105.9,3690.3,2.85,156.6,165.1,120140,1183.0011,4.6,1194.6
1997-05-01,8.5,136.3,467038,448.445,4.75,1054.7,3859.6,3.008,160.1,169.3,123221,1270.5906,4,1321.6
1998-05-01,8.5,143.3,495231,478.588,5.15,1070.8,4134,3.018,162.8,173.1,126466,1353.3149,3.5,1474.5
1999-05-01,7.75,153.2,540620,522.494,5.15,1096.4,4454.4,2.658,166.2,176.6,129423,1459.9391,3.4,1681.4
2000-05-01,9.24,152.9,580556,565.836,5.15,1100.4,4722.2,3.296,171.5,180.9,132718,1576.8,3.3,1771.6
2001-05-01,7.24,154,605919,590.873,5.15,1114.7,5100.1,2.556,177.7,185.5,133056,1773.8828,3.6,2023
2002-05-01,4.75,165.5,668606,648.293,5.15,1186,5485.7,1.157,179.8,190.2,131329,1906.4724,4.9,2482.9
2003-05-01,4.25,165,713711,690.521,5.15,1266.6,5924.2,0.764,183.5,193.2,130909,2018.08,5.2,2956.4
2004-05-01,4,187.6,745039,719.679,5.15,1333.4,6235.6,0.596,189.1,196.5,132397,2109.8133,4.7,3373
2005-05-01,5.98,197.9,776356,754.184,5.15,1369.5,6445.9,1.303,194.4,200.8,134402,2219.4073,4.2,3494.9
2006-05-01,7.93,190.2,812561,794.306,5.15,1392.1,6784,2.12,202.5,205.7,136946,2362.5169,3.9,3597.4
2007-05-01,8.25,136.5,825698,809.5,5.15,1385.6,7225.9,2.52,207.949,210.316,138673,2467.6496,3.7,3769
2008-05-01,5,91.7,834675,817.686,5.85,1396.5,7694.5,1.334,216.632,215.18,138488,2616.4559,4.6,4012.3
2009-05-01,3.25,52.2,1775104,905.514,6.55,1617.9,8416.2,0.524,213.856,219.128,132132,2565.7749,8.4,4455.5
2010-05-01,3.25,56.2,2012331,937.474,7.25,1708.2,8571.8,0.335,218.178,221.193,131330,2480.8721,8.6,5065.8
2011-05-01,3.25,54,2567185,1016.664,7.25,1934.2,9012.6,0.248,225.964,224.534,132399,2643.5294,8.2,5551
2012-05-01,3.25,67.8,2616477,1103.669,7.25,2248.4,9871.7,0.154,229.815,229.602,134667,2779.336,7.3,6258.6
2013-05-01,3.25,87.2,3116932,1185.026,7.25,2518.5,10566.4,0.12,232.945,233.462,136816,2947.8181,6.6,6799.7
2014-05-01,3.25,92.5,3911525,1275.948,7.25,2782.2,11262.9,0.101,237.9,238.029,139237,3148.1474,5.6,7291.8
2015-05-01,3.25,99.6,3949372,1364.57,7.25,2975.9,11896.3,0.101,237.805,242.119,142224,3366.1698,4.8,7823.6
2016-05-01,3.5,105,3836529,1450.998,7.25,3234.8,12697.7,0.116,240.229,247.544,144557,3472.2935,4.1,8362.3
2017-05-01,4,106,3774412,1548.163,7.25,3517.2,13468.3,0.174,244.733,251.835,146941,3683.1844,3.7,8899.8
2018-05-01,4.75,123.7,3674755,1650.879,7.25,3655.9,13984.6,0.334,251.588,257.469,149360,3845.4256,3.2,9134.7
